date,time,home_team,away_team,score,match_url,Expected_goals_(xG)_home,Expected_goals_(xG)_away,Ball_possession_home,Ball_possession_away,Total_shots_home,Total_shots_away,Shots_on_target_home,Shots_on_target_away,Big_chances_home,Big_chances_away,Corner_kicks_home,Corner_kicks_away,Passes_home,Passes_away,Yellow_cards_home,Yellow_cards_away,Shots_off_target_home,Shots_off_target_away,Blocked_shots_home,Blocked_shots_away,Shots_inside_the_box_home,Shots_inside_the_box_away,Shots_outside_the_box_home,Shots_outside_the_box_away,Hit_the_woodwork_home,Hit_the_woodwork_away,Touches_in_opposition_box_home,Touches_in_opposition_box_away,Offsides_home,Offsides_away,Free_kicks_home,Free_kicks_away,Passes_in_final_third_home,Passes_in_final_third_away,Crosses_home,Crosses_away,Throw_ins_home,Throw_ins_away,Fouls_home,Fouls_away,Tackles_home,Tackles_away,Clearances_home,Clearances_away,Interceptions_home,Interceptions_away,Goalkeeper_saves_home,Goalkeeper_saves_away,xG_on_target_(xGOT)_home,xG_on_target_(xGOT)_away,Accurate_through_passes_home,Accurate_through_passes_away,Long_passes_home,Long_passes_away,Expected_assists_(xA)_home,Expected_assists_(xA)_away,Duels_won_home,Duels_won_away,Errors_leading_to_shot_home,Errors_leading_to_shot_away,Errors_leading_to_goal_home,Errors_leading_to_goal_away,xGOT_faced_home,xGOT_faced_away,Goals_prevented_home,Goals_prevented_away,Red_cards_home,Red_cards_away,Headed_goals_home,Headed_goals_away
04.01.2025,22:00,Venezia,Empoli,1:1,https://www.flashscore.co.uk/match/football/4Mr7x7eM/#/match-summary,0.94,1.49,50%,50%,8,18,3,6,0,2,2,8,"75%,(320/427)","73%,(300/409)",1,2,2,5,3,7,4,10,4,8,0,0,12,23,2,1,14,15,"65%,(65/100)","59%,(77/131)","11%,(1/9)","18%,(5/28)",23,21,15,14,"71%,(10/14)","60%,(18/30)",34,16,10,7,5,2,,,,,,,,,,,,,,,,,,,,,,
02.03.2025,19:30,Monza,Torino,0:2,https://www.flashscore.co.uk/match/football/rckAnFf3/#/match-summary,1.06,1.22,53%,47%,9,13,2,7,0,1,1,4,"87%,(415/477)","85%,(371/434)",2,2,4,5,3,1,6,11,3,2,0,0,13,24,3,1,20,10,"77%,(68/88)","76%,(93/123)","33%,(8/24)","44%,(8/18)",23,20,10,20,"43%,(3/7)","50%,(4/8)",23,14,5,12,5,2,,,,,,,,,,,,,,,,,,,,,,
01.02.2025,22:00,Udinese,Venezia,3:2,https://www.flashscore.co.uk/match/football/2oCZvFZA/#/match-summary,0.74,1.34,52%,48%,13,14,5,3,1,1,4,6,"79%,(271/343)","74%,(229/311)",3,3,7,7,1,4,6,7,7,7,0,0,20,14,3,1,9,20,"68%,(63/92)","72%,(53/74)","17%,(3/18)","41%,(7/17)",16,35,20,9,"75%,(12/16)","38%,(6/16)",21,18,11,6,1,2,,,,,,,,,,,,,,,,,,,,,,
21.09.2024,00:30,Cagliari,Empoli,0:2,https://www.flashscore.co.uk/match/football/2ucWYubt/#/match-summary,1.35,0.95,61%,39%,21,9,2,4,,,10,4,"78%,(353/453)","68%,(198/291)",1,2,12,3,7,2,,,,,,,,,0,2,27,17,,,,,36,25,15,21,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,
18.01.2025,03:45,AS Roma,Genoa,3:1,https://www.flashscore.co.uk/match/football/2P2WQCin/#/match-summary,1.51,0.50,52%,48%,16,7,7,3,2,1,3,2,"89%,(457/515)","84%,(384/459)",1,1,7,3,2,1,10,5,6,2,1,0,22,13,0,1,12,12,"71%,(70/98)","56%,(31/55)","33%,(5/15)","44%,(4/9)",8,18,12,12,"50%,(7/14)","60%,(9/15)",10,17,8,5,2,4,,,,,,,,,,,,,,,,,,,,,,
26.08.2024,00:30,Torino,Atalanta,2:1,https://www.flashscore.co.uk/match/football/dbt7KrYP/#/match-summary,2.65,3.51,42%,58%,13,25,7,9,,,4,6,"75%,(274/367)","108%,(399/371)",3,4,4,12,2,4,,,,,,,,,1,0,15,11,,,,,8,19,11,14,,,,,,,8,5,,,,,,,,,,,,,,,,,,,,,,
25.05.2025,00:00,Bologna,Genoa,1:3,https://www.flashscore.co.uk/match/football/jZII9UYO/#/match-summary,0.63,1.17,60%,40%,16,5,5,3,0,2,13,1,"82%,(332/407)","71%,(201/283)",5,2,5,2,6,0,9,3,7,2,1,0,34,12,4,1,23,13,"72%,(101/141)","39%,(13/33)","19%,(7/36)","40%,(2/5)",26,25,13,23,"56%,(9/16)","36%,(5/14)",14,45,10,10,0,4,1.09,2.35,1,0,"47%,(26/55)","34%,(20/59)",0.89,0.56,66,41,0,0,1,0,2.35,1.09,-0.65,0.08,,,,
16.02.2025,22:00,Monza,Lecce,0:0,https://www.flashscore.co.uk/match/football/vPQJsW7r/#/match-summary,0.32,0.79,56%,44%,8,19,3,5,0,1,3,7,"84%,(408/486)","81%,(306/376)",2,2,5,11,0,3,4,11,4,8,0,1,9,17,2,0,18,10,"77%,(75/97)","69%,(81/118)","26%,(6/23)","35%,(7/20)",22,20,10,18,"80%,(8/10)","46%,(6/13)",28,31,7,9,5,3,,,,,,,,,,,,,,,,,,,,,,
25.11.2024,03:45,Lazio,Bologna,3:0,https://www.flashscore.co.uk/match/football/StHzEdwH/#/match-summary,2.00,0.07,69%,31%,13,3,4,1,3,0,3,0,"88%,(540/615)","75%,(199/266)",3,3,5,2,4,0,9,0,4,3,0,0,27,4,2,0,14,14,"74%,(111/151)","58%,(33/57)","9%,(2/23)","25%,(1/4)",22,8,14,14,"22%,(2/9)","57%,(4/7)",7,34,13,11,1,1,,,,,,,,,,,,,,,,,,,0,1,1,0
11.01.2025,22:00,Udinese,Atalanta,0:0,https://www.flashscore.co.uk/match/football/IRD4sgwJ/#/match-summary,1.66,0.31,45%,55%,12,4,3,2,3,0,5,3,"78%,(326/418)","82%,(406/493)",1,2,4,1,5,1,8,3,4,1,2,0,14,16,0,2,16,4,"64%,(56/88)","78%,(90/116)","17%,(3/18)","22%,(4/18)",22,23,4,16,"61%,(14/23)","67%,(14/21)",15,25,13,10,2,3,,,,,,,,,,,,,,,,,,,,,,
07.10.2024,00:00,Monza,AS Roma,1:1,https://www.flashscore.co.uk/match/football/lnhZhVPh/#/match-summary,1.40,1.16,35%,65%,3,15,3,4,,,1,3,"69%,(234/337)","79%,(518/654)",3,1,0,7,0,4,,,,,,,,,1,1,21,20,,,,,19,19,16,13,,,,,,,3,2,,,,,,,,,,,,,,,,,,,,,,
25.08.2024,02:45,Monza,Genoa,0:1,https://www.flashscore.co.uk/match/football/6D3e2qCs/#/match-summary,0.36,0.66,70%,30%,9,11,2,1,,,8,3,"90%,(561/623)","83%,(213/256)",2,3,5,7,2,3,,,,,,,,,2,1,19,8,,,,,23,17,6,17,,,,,,,0,2,,,,,,,,,,,,,,,,,,,,,,
23.02.2025,19:30,Como,Napoli,2:1,https://www.flashscore.co.uk/match/football/WKAa34zJ/#/match-summary,0.56,1.14,43%,57%,8,13,3,4,0,2,4,6,"77%,(268/346)","84%,(381/455)",1,3,1,5,4,4,6,8,2,5,0,0,17,21,1,3,14,17,"66%,(69/104)","65%,(71/109)","13%,(1/8)","29%,(5/17)",9,24,17,14,"68%,(17/25)","59%,(10/17)",37,17,5,7,3,1,,,,,,,,,,,,,,,,,,,,,,
15.02.2025,22:00,Atalanta,Cagliari,0:0,https://www.flashscore.co.uk/match/football/jRS55Erh/#/match-summary,0.42,0.16,59%,41%,9,3,2,0,0,0,8,2,"88%,(536/606)","82%,(353/428)",1,1,4,1,3,2,4,1,5,2,0,0,27,10,0,0,11,7,"82%,(198/241)","73%,(47/64)","24%,(7/29)","23%,(3/13)",20,17,7,11,"82%,(18/22)","45%,(10/22)",14,24,8,7,0,2,,,,,,,,,,,,,,,,,,,,,,
24.05.2025,02:45,Napoli,Cagliari,2:0,https://www.flashscore.co.uk/match/football/jefgM7IU/#/match-summary,2.27,0.08,67%,33%,18,4,6,1,3,0,8,3,"91%,(532/583)","82%,(241/295)",2,1,4,0,8,3,16,2,2,2,0,0,33,6,1,1,14,14,"80%,(90/113)","63%,(35/56)","19%,(5/27)","17%,(2/12)",16,10,14,14,"78%,(7/9)","67%,(8/12)",16,27,2,5,1,4,2.59,0.17,1,0,"58%,(21/36)","32%,(12/38)",0.75,0.16,39,32,0,1,0,0,0.17,2.59,0.17,0.59,,,,
17.12.2024,03:45,Lazio,Inter,0:6,https://www.flashscore.co.uk/match/football/UR0TxbTq/#/match-summary,0.41,2.13,51%,49%,9,12,2,7,1,5,4,2,"87%,(420/481)","87%,(398/459)",2,4,4,1,3,4,5,8,4,4,0,0,16,15,1,0,14,7,"79%,(84/106)","64%,(39/61)","11%,(2/19)","50%,(5/10)",16,14,7,14,"67%,(6/9)","40%,(4/10)",4,20,7,9,1,2,,,,,,,,,,,,,,,,,,,,,0,1
09.12.2024,01:00,Venezia,Como,2:2,https://www.flashscore.co.uk/match/football/O6cLrTa5/#/match-summary,0.34,0.76,34%,66%,8,10,4,4,0,1,5,9,"61%,(142/232)","83%,(378/457)",1,1,1,4,3,2,2,5,6,5,0,0,12,10,2,0,10,12,"47%,(30/64)","77%,(118/153)","13%,(2/16)","4%,(1/28)",26,26,12,10,"62%,(13/21)","56%,(14/25)",25,29,8,3,2,2,,,,,,,,,,,,,,,,,,,,,,
29.12.2024,01:00,Cagliari,Inter,0:3,https://www.flashscore.co.uk/match/football/0E5rDVAD/#/match-summary,0.31,3.50,34%,66%,5,20,1,5,0,3,5,7,"74%,(211/287)","87%,(501/573)",,,2,9,2,6,3,13,2,7,0,0,9,30,3,6,5,14,"63%,(38/60)","70%,(85/122)","15%,(3/20)","43%,(9/21)",11,12,14,5,"50%,(4/8)","60%,(6/10)",22,14,6,7,2,1,,,,,,,,,,,,,,,,,,,,,0,1
01.11.2024,03:45,AS Roma,Torino,1:0,https://www.flashscore.co.uk/match/football/Sp7nVfDF/#/match-summary,0.50,0.22,57%,43%,10,4,3,2,,,3,5,"84%,(503/602)","77%,(343/447)",2,2,2,0,5,2,,,,,,,,,2,0,15,11,,,,,16,21,11,15,,,,,10,7,2,2,,,,,,,,,,,,,,,,,,,,,,
