date,time,home_team,away_team,score,match_url,Expected_goals_(xG)_home,Expected_goals_(xG)_away,Ball_possession_home,Ball_possession_away,Total_shots_home,Total_shots_away,Shots_on_target_home,Shots_on_target_away,Corner_kicks_home,Corner_kicks_away,Passes_home,Passes_away,Red_cards_home,Red_cards_away,Shots_off_target_home,Shots_off_target_away,Blocked_shots_home,Blocked_shots_away,Offsides_home,Offsides_away,Fouls_home,Fouls_away,Goalkeeper_saves_home,Goalkeeper_saves_away,Yellow_cards_home,Yellow_cards_away,Free_kicks_home,Free_kicks_away,Throw_ins_home,Throw_ins_away,Big_chances_home,Big_chances_away,Shots_inside_the_box_home,Shots_inside_the_box_away,Shots_outside_the_box_home,Shots_outside_the_box_away,Hit_the_woodwork_home,Hit_the_woodwork_away,Touches_in_opposition_box_home,Touches_in_opposition_box_away,Passes_in_final_third_home,Passes_in_final_third_away,Crosses_home,Crosses_away,Tackles_home,Tackles_away,Clearances_home,Clearances_away,Interceptions_home,Interceptions_away,xG_on_target_(xGOT)_home,xG_on_target_(xGOT)_away,Accurate_through_passes_home,Accurate_through_passes_away,Long_passes_home,Long_passes_away,Expected_assists_(xA)_home,Expected_assists_(xA)_away,Duels_won_home,Duels_won_away,Errors_leading_to_shot_home,Errors_leading_to_shot_away,Errors_leading_to_goal_home,Errors_leading_to_goal_away,xGOT_faced_home,xGOT_faced_away,Goals_prevented_home,Goals_prevented_away,Headed_goals_home,Headed_goals_away
30.04.2023,21:00,Cremonese,Verona,1:1,https://www.flashscore.co.uk/match/football/APhRAf8N/#/match-summary,0.49,1.21,51%,49%,12.0,14.0,5.0,6.0,3.0,5.0,"74%,(287/388)","71%,(253/356)",1.0,0.0,6.0,3.0,1.0,5.0,2.0,3.0,10.0,16.0,5.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08.01.2023,19:30,Salernitana,Torino,1:1,https://www.flashscore.co.uk/match/football/plv4wk7m/#/match-summary,,,39%,61%,11.0,23.0,4.0,8.0,6.0,7.0,"69%,(219/316)","81%,(407/502)",,,3.0,8.0,4.0,7.0,1.0,1.0,10.0,15.0,7.0,3.0,2.0,3.0,17.0,10.0,13.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.01.2023,22:00,Empoli,Torino,2:2,https://www.flashscore.co.uk/match/football/tEI6wAOp/#/match-summary,,,47%,53%,11.0,16.0,4.0,4.0,5.0,5.0,"79%,(302/382)","78%,(349/447)",,,3.0,8.0,4.0,4.0,1.0,1.0,12.0,9.0,2.0,2.0,2.0,0.0,13.0,21.0,29.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04.01.2023,23:30,AS Roma,Bologna,1:0,https://www.flashscore.co.uk/match/football/bZA2LGo2/#/match-summary,,,39%,61%,14.0,10.0,4.0,2.0,3.0,3.0,"79%,(300/380)","85%,(506/595)",,,4.0,3.0,6.0,5.0,1.0,1.0,10.0,10.0,2.0,3.0,2.0,3.0,10.0,11.0,21.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05.06.2023,03:00,Lecce,Bologna,2:3,https://www.flashscore.co.uk/match/football/KjMc6ZHU/#/match-summary,1.64,0.87,39%,61%,20.0,11.0,7.0,7.0,7.0,2.0,"82%,(283/347)","87%,(498/573)",,,7.0,2.0,6.0,2.0,0.0,1.0,11.0,9.0,4.0,5.0,1.0,2.0,3.0,6.0,9.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.11.2022,22:00,AS Roma,Torino,1:1,https://www.flashscore.co.uk/match/football/0O0NUKOF/#/match-summary,,,48%,52%,13.0,10.0,4.0,2.0,7.0,0.0,"76%,(335/441)","80%,(393/491)",,,5.0,4.0,4.0,4.0,0.0,1.0,13.0,10.0,1.0,3.0,3.0,2.0,13.0,23.0,24.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.09.2022,00:30,Sampdoria,Lazio,1:1,https://www.flashscore.co.uk/match/football/zP99GFoF/#/match-summary,,,44%,56%,10.0,13.0,3.0,6.0,5.0,7.0,"86%,(419/487)","89%,(550/620)",,,4.0,3.0,3.0,4.0,2.0,2.0,10.0,7.0,5.0,2.0,0.0,2.0,19.0,16.0,15.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02.10.2022,21:00,Sassuolo,Salernitana,5:0,https://www.flashscore.co.uk/match/football/025FnvSA/#/match-summary,,,44%,56%,17.0,6.0,11.0,1.0,1.0,2.0,"86%,(365/426)","85%,(459/537)",,,4.0,5.0,2.0,0.0,1.0,3.0,10.0,8.0,1.0,6.0,1.0,1.0,13.0,15.0,19.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07.02.2023,01:30,Verona,Lazio,1:1,https://www.flashscore.co.uk/match/football/G8hqiThp/#/match-summary,,,36%,64%,15.0,9.0,4.0,2.0,6.0,5.0,"66%,(210/316)","80%,(457/572)",,,9.0,5.0,2.0,2.0,0.0,2.0,16.0,12.0,1.0,3.0,4.0,1.0,14.0,16.0,19.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.03.2023,03:45,Atalanta,Empoli,2:1,https://www.flashscore.co.uk/match/football/z9Dxs4WS/#/match-summary,3.05,0.86,70%,30%,27.0,5.0,6.0,2.0,13.0,2.0,"87%,(554/639)","68%,(200/294)",,,15.0,2.0,6.0,1.0,2.0,1.0,11.0,10.0,1.0,4.0,3.0,2.0,19.0,16.0,32.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
