date,home_team,away_team,home_team_code,away_team_code,hour,day_code,Ball_possession_home,Total_shots_home,Total_shots_away,Goalkeeper_saves_home,Goalkeeper_saves_away,Corner_kicks_home,Corner_kicks_away,Passes_home,Passes_away,Free_kicks_home,Free_kicks_away,result
2023-04-30,Cremonese,Verona,6,25,21,6,0.51,12.0,14.0,5.0,4.0,3.0,5.0,0.74,0.71,14.0,13.0,-1
2023-01-08,Salernitana,Torino,18,22,19,6,0.39,11.0,23.0,7.0,3.0,6.0,7.0,0.69,0.81,17.0,10.0,-1
2023-01-28,Empoli,Torino,7,22,22,5,0.47,11.0,16.0,2.0,2.0,5.0,5.0,0.79,0.78,13.0,21.0,-1
2023-01-04,AS Roma,Bologna,1,3,23,2,0.39,14.0,10.0,2.0,3.0,3.0,3.0,0.79,0.85,10.0,11.0,1
2023-06-05,Lecce,Bologna,14,3,3,0,0.39,20.0,11.0,4.0,5.0,7.0,2.0,0.82,0.87,3.0,6.0,-1
2022-11-13,AS Roma,Torino,1,22,22,6,0.48,13.0,10.0,1.0,3.0,7.0,0.0,0.76,0.8,13.0,23.0,-1
2022-09-01,Sampdoria,Lazio,19,13,0,3,0.44,10.0,13.0,5.0,2.0,5.0,7.0,0.86,0.89,19.0,16.0,-1
2022-10-02,Sassuolo,Salernitana,20,18,21,6,0.44,17.0,6.0,1.0,6.0,1.0,2.0,0.86,0.85,13.0,15.0,1
2023-02-07,Verona,Lazio,25,13,1,1,0.36,15.0,9.0,1.0,3.0,6.0,5.0,0.66,0.8,14.0,16.0,-1
2023-03-18,Atalanta,Empoli,2,7,3,5,0.7,27.0,5.0,1.0,4.0,13.0,2.0,0.87,0.68,19.0,16.0,1
2022-10-23,Bologna,Lecce,3,14,21,6,0.54,12.0,9.0,3.0,1.0,9.0,4.0,0.76,0.75,19.0,23.0,1
2023-05-23,AS Roma,Salernitana,1,18,0,1,0.59,22.0,8.0,1.0,3.0,6.0,4.0,0.84,0.75,15.0,9.0,-1
2023-02-19,Salernitana,Lazio,18,13,22,6,0.35,9.0,21.0,5.0,2.0,2.0,9.0,0.8,0.88,9.0,9.0,-1
2023-06-05,AS Roma,Spezia,1,21,3,0,0.69,19.0,8.0,1.0,3.0,6.0,2.0,0.87,0.7,16.0,15.0,1
2023-01-05,Inter,Napoli,11,16,3,3,0.37,6.0,9.0,2.0,0.0,5.0,4.0,0.8,0.88,9.0,16.0,1
2022-08-22,Atalanta,AC Milan,2,0,2,0,0.41,11.0,18.0,6.0,1.0,4.0,6.0,0.79,0.86,9.0,14.0,-1
2023-01-29,Juventus,Monza,12,15,22,6,0.46,22.0,3.0,1.0,8.0,12.0,1.0,0.84,0.84,12.0,15.0,-1
2023-01-29,Cremonese,Inter,6,11,1,6,0.35,12.0,30.0,8.0,3.0,2.0,14.0,0.77,0.88,19.0,9.0,-1
2023-04-04,Empoli,Lecce,7,14,0,1,0.53,14.0,5.0,0.0,6.0,3.0,4.0,0.73,0.69,16.0,10.0,1
2022-10-17,Napoli,Bologna,16,3,0,0,0.48,30.0,16.0,1.0,8.0,6.0,4.0,0.84,0.84,11.0,8.0,1
2023-04-23,Sampdoria,Spezia,19,21,2,6,0.45,13.0,19.0,6.0,2.0,9.0,9.0,0.78,0.82,15.0,15.0,-1
2022-11-12,Empoli,Cremonese,7,6,3,5,0.5,13.0,19.0,5.0,4.0,4.0,9.0,0.8,0.8,15.0,10.0,1
2023-01-04,Spezia,Atalanta,21,2,21,2,0.35,7.0,19.0,1.0,1.0,3.0,8.0,0.67,0.82,11.0,12.0,-1
2023-06-05,Napoli,Sampdoria,16,19,0,0,0.73,21.0,6.0,4.0,7.0,11.0,0.0,0.92,0.79,5.0,9.0,1
2022-10-17,Verona,AC Milan,25,0,2,0,0.46,19.0,16.0,4.0,4.0,9.0,3.0,0.69,0.76,9.0,7.0,-1
2023-05-14,Fiorentina,Udinese,8,23,21,6,0.45,18.0,5.0,1.0,1.0,3.0,3.0,0.81,0.83,17.0,16.0,1
2023-05-28,Inter,Atalanta,11,2,2,6,0.52,20.0,11.0,2.0,8.0,9.0,7.0,0.88,0.86,20.0,9.0,1
2022-11-05,Empoli,Sassuolo,7,20,22,5,0.47,17.0,10.0,3.0,0.0,3.0,6.0,0.83,0.84,11.0,16.0,1
2022-10-16,Lazio,Udinese,13,23,21,6,0.55,8.0,12.0,2.0,3.0,7.0,3.0,0.82,0.81,11.0,8.0,-1
2023-02-05,Spezia,Napoli,21,16,19,6,0.31,9.0,12.0,2.0,3.0,3.0,6.0,0.71,0.86,22.0,19.0,-1
2023-04-08,Udinese,Monza,23,15,18,5,0.4,14.0,12.0,3.0,3.0,4.0,2.0,0.86,0.88,20.0,13.0,-1
2023-04-03,AS Roma,Sampdoria,1,19,0,0,0.51,28.0,6.0,3.0,8.0,10.0,3.0,0.88,0.86,13.0,13.0,1
2023-01-10,Verona,Cremonese,25,6,1,1,0.47,9.0,15.0,5.0,2.0,3.0,5.0,0.71,0.72,12.0,18.0,1
2022-11-06,AC Milan,Spezia,0,21,3,6,0.59,23.0,13.0,4.0,9.0,3.0,6.0,0.77,0.65,20.0,17.0,1
