date,time,home_team,away_team,score,match_url,Expected_goals_(xG)_home,Expected_goals_(xG)_away,Ball_possession_home,Ball_possession_away,Total_shots_home,Total_shots_away,Shots_on_target_home,Shots_on_target_away,Corner_kicks_home,Corner_kicks_away,Passes_home,Passes_away,Red_cards_home,Red_cards_away,Shots_off_target_home,Shots_off_target_away,Blocked_shots_home,Blocked_shots_away,Offsides_home,Offsides_away,Fouls_home,Fouls_away,Goalkeeper_saves_home,Goalkeeper_saves_away,Yellow_cards_home,Yellow_cards_away,Free_kicks_home,Free_kicks_away,Throw_ins_home,Throw_ins_away
30.04.2023,21:00,Cremonese,Verona,1:1,https://www.flashscore.co.uk/match/football/APhRAf8N/#/match-summary,0.49,1.21,51%,49%,12,14,5,6,3,5,"74%,(287/388)","71%,(253/356)",1,0,6,3,1,5,2,3,10,16,5,4,,,,,,
12.06.2023,02:45,Spezia,Verona Winner,1:3,https://www.flashscore.co.uk/match/football/Q3DqQz7n/#/match-summary,2.37,0.75,69%,31%,17,9,10,5,9,5,"82%,(380/464)","60%,(134/222)",0,1,5,2,2,2,0,1,11,18,2,9,2,5,18,11,28,17
08.01.2023,19:30,Salernitana,Torino,1:1,https://www.flashscore.co.uk/match/football/plv4wk7m/#/match-summary,,,39%,61%,11,23,4,8,6,7,"69%,(219/316)","81%,(407/502)",,,3,8,4,7,1,1,10,15,7,3,2,3,17,10,13,25
28.01.2023,22:00,Empoli,Torino,2:2,https://www.flashscore.co.uk/match/football/tEI6wAOp/#/match-summary,,,47%,53%,11,16,4,4,5,5,"79%,(302/382)","78%,(349/447)",,,3,8,4,4,1,1,12,9,2,2,2,0,13,21,29,26
04.01.2023,23:30,AS Roma,Bologna,1:0,https://www.flashscore.co.uk/match/football/bZA2LGo2/#/match-summary,,,39%,61%,14,10,4,2,3,3,"79%,(300/380)","85%,(506/595)",,,4,3,6,5,1,1,10,10,2,3,2,3,10,11,21,23
05.06.2023,03:00,Lecce,Bologna,2:3,https://www.flashscore.co.uk/match/football/KjMc6ZHU/#/match-summary,1.64,0.87,39%,61%,20,11,7,7,7,2,"82%,(283/347)","87%,(498/573)",,,7,2,6,2,0,1,11,9,4,5,1,2,3,6,9,8
13.11.2022,22:00,AS Roma,Torino,1:1,https://www.flashscore.co.uk/match/football/0O0NUKOF/#/match-summary,,,48%,52%,13,10,4,2,7,0,"76%,(335/441)","80%,(393/491)",,,5,4,4,4,0,1,13,10,1,3,3,2,13,23,24,22
01.09.2022,00:30,Sampdoria,Lazio,1:1,https://www.flashscore.co.uk/match/football/zP99GFoF/#/match-summary,,,44%,56%,10,13,3,6,5,7,"86%,(419/487)","89%,(550/620)",,,4,3,3,4,2,2,10,7,5,2,0,2,19,16,15,12
02.10.2022,21:00,Sassuolo,Salernitana,5:0,https://www.flashscore.co.uk/match/football/025FnvSA/#/match-summary,,,44%,56%,17,6,11,1,1,2,"86%,(365/426)","85%,(459/537)",,,4,5,2,0,1,3,10,8,1,6,1,1,13,15,19,21
07.02.2023,01:30,Verona,Lazio,1:1,https://www.flashscore.co.uk/match/football/G8hqiThp/#/match-summary,,,36%,64%,15,9,4,2,6,5,"66%,(210/316)","80%,(457/572)",,,9,5,2,2,0,2,16,12,1,3,4,1,14,16,19,17
18.03.2023,03:45,Atalanta,Empoli,2:1,https://www.flashscore.co.uk/match/football/z9Dxs4WS/#/match-summary,3.05,0.86,70%,30%,27,5,6,2,13,2,"87%,(554/639)","68%,(200/294)",,,15,2,6,1,2,1,11,10,1,4,3,2,19,16,32,22
23.10.2022,21:00,Bologna,Lecce,2:0,https://www.flashscore.co.uk/match/football/Kn2Awe6f/#/match-summary,,,54%,46%,12,9,3,3,9,4,"76%,(312/408)","75%,(269/358)",,,9,5,0,1,1,1,11,14,3,1,5,2,19,23,25,27
23.05.2023,00:30,AS Roma,Salernitana,2:2,https://www.flashscore.co.uk/match/football/pvXf0tks/#/match-summary,1.34,1.04,59%,41%,22,8,5,3,6,4,"84%,(453/539)","75%,(290/387)",,,7,3,10,2,0,1,9,14,1,3,1,4,15,9,35,21
19.02.2023,22:00,Salernitana,Lazio,0:2,https://www.flashscore.co.uk/match/football/W0AgQKkK/#/match-summary,0.47,3.25,35%,65%,9,21,2,7,2,9,"80%,(320/398)","88%,(661/751)",1,0,5,7,2,7,1,2,10,7,5,2,5,1,9,9,9,22
05.06.2023,03:00,AS Roma,Spezia,2:1,https://www.flashscore.co.uk/match/football/hviCPdIh/#/match-summary,2.19,1.03,69%,31%,19,8,5,2,6,2,"87%,(448/517)","70%,(163/234)",0,1,11,4,3,2,1,0,14,17,1,3,2,9,16,15,24,18
05.01.2023,03:45,Inter,Napoli,1:0,https://www.flashscore.co.uk/match/football/xKMgNxHk/#/match-summary,,,37%,63%,6,9,1,2,5,4,"80%,(270/337)","88%,(526/598)",,,5,4,0,3,4,2,12,7,2,0,3,2,9,16,20,34
22.08.2022,02:45,Atalanta,AC Milan,1:1,https://www.flashscore.co.uk/match/football/C8eFyKIG/#/match-summary,,,41%,59%,11,18,2,7,4,6,"79%,(270/342)","86%,(447/521)",,,7,9,2,2,0,3,15,6,6,1,4,3,9,14,15,23
29.01.2023,22:00,Juventus,Monza,0:2,https://www.flashscore.co.uk/match/football/fH6l2g1o/#/match-summary,,,46%,54%,22,3,8,3,12,1,"84%,(348/414)","84%,(448/533)",,,7,0,7,0,3,2,12,10,1,8,0,2,12,15,22,21
29.01.2023,01:00,Cremonese,Inter,1:2,https://www.flashscore.co.uk/match/football/6LRvrjGT/#/match-summary,,,35%,65%,12,30,4,10,2,14,"77%,(251/326)","88%,(520/591)",,,6,12,2,8,0,3,7,12,8,3,0,2,19,9,12,15
04.04.2023,00:30,Empoli,Lecce,1:0,https://www.flashscore.co.uk/match/football/tAIjlLwd/#/match-summary,1.76,0.16,53%,47%,14,5,7,0,3,4,"73%,(291/397)","69%,(238/344)",1,0,2,3,5,2,0,2,10,15,0,6,3,2,16,10,37,26
17.10.2022,00:00,Napoli,Bologna,3:2,https://www.flashscore.co.uk/match/football/ADSQoJbE/#/match-summary,,,48%,52%,30,16,11,3,6,4,"84%,(408/486)","84%,(440/524)",,,8,7,11,6,2,1,6,10,1,8,0,4,11,8,27,18
23.04.2023,02:45,Sampdoria,Spezia,1:1,https://www.flashscore.co.uk/match/football/b7tGDdO4/#/match-summary,1.74,2.54,45%,55%,13,19,3,7,9,9,"78%,(274/350)","82%,(352/431)",,,7,6,3,6,2,0,9,11,6,2,1,1,15,15,18,20
12.11.2022,03:45,Empoli,Cremonese,2:0,https://www.flashscore.co.uk/match/football/4xHKAaXq/#/match-summary,,,50%,50%,13,19,6,5,4,9,"80%,(349/436)","80%,(334/418)",,,4,6,3,8,1,1,9,14,5,4,1,2,15,10,18,24
04.01.2023,21:30,Spezia,Atalanta,2:2,https://www.flashscore.co.uk/match/football/84hgrvgF/#/match-summary,,,35%,65%,7,19,3,3,3,8,"67%,(210/313)","82%,(475/579)",,,3,9,1,7,1,1,11,11,1,1,3,3,11,12,25,25
05.06.2023,00:30,Napoli,Sampdoria,2:0,https://www.flashscore.co.uk/match/football/z3d7Qx3n/#/match-summary,2.14,0.58,73%,27%,21,6,9,4,11,0,"92%,(713/771)","79%,(220/279)",,,7,2,5,0,1,0,7,7,4,7,0,1,5,9,19,11
17.10.2022,02:45,Verona,AC Milan,1:2,https://www.flashscore.co.uk/match/football/djxXPyxe/#/match-summary,,,46%,54%,19,16,5,6,9,3,"69%,(229/334)","76%,(303/399)",,,7,5,7,5,0,1,7,9,4,4,3,2,9,7,22,22
14.05.2023,21:00,Fiorentina,Udinese,2:0,https://www.flashscore.co.uk/match/football/jHkjW1z1/#/match-summary,1.41,0.21,45%,55%,18,5,3,1,3,3,"81%,(294/363)","83%,(364/439)",1,1,10,3,5,1,2,1,15,15,1,1,3,3,17,16,16,22
28.05.2023,02:45,Inter,Atalanta,3:2,https://www.flashscore.co.uk/match/football/0zRNgdYO/#/match-summary,2.53,0.81,52%,48%,20,11,11,3,9,7,"88%,(429/488)","86%,(394/458)",,,6,5,3,3,1,1,8,18,2,8,0,1,20,9,14,11
05.11.2022,22:00,Empoli,Sassuolo,1:0,https://www.flashscore.co.uk/match/football/4AKV1VlC/#/match-summary,,,47%,53%,17,10,1,3,3,6,"83%,(347/418)","84%,(390/464)",,,9,4,7,3,4,0,11,11,3,0,2,0,11,16,24,30
16.10.2022,21:00,Lazio,Udinese,0:0,https://www.flashscore.co.uk/match/football/I5QuOF67/#/match-summary,,,55%,45%,8,12,3,2,7,3,"82%,(388/473)","81%,(316/390)",,,4,7,1,3,0,1,8,11,2,3,1,4,11,8,31,29
05.02.2023,19:30,Spezia,Napoli,0:3,https://www.flashscore.co.uk/match/football/0dSnBlpG/#/match-summary,,,31%,69%,9,12,3,5,3,6,"71%,(201/283)","86%,(544/633)",,,5,4,1,3,1,4,19,18,2,3,3,2,22,19,7,22
08.04.2023,18:30,Udinese,Monza,2:2,https://www.flashscore.co.uk/match/football/G4400nll/#/match-summary,1.89,1.28,40%,60%,14,12,5,5,4,2,"86%,(323/374)","88%,(503/569)",,,6,5,3,2,1,1,12,21,3,3,1,3,20,13,14,7
03.04.2023,00:00,AS Roma,Sampdoria,3:0,https://www.flashscore.co.uk/match/football/MPck9MFL/#/match-summary,3.56,0.29,51%,49%,28,6,11,3,10,3,"88%,(371/421)","86%,(362/420)",0,1,10,2,7,1,2,1,11,13,3,8,3,5,13,13,20,10
