date,time,home_team,away_team,score,match_url,Expected_goals_(xG)_home,Expected_goals_(xG)_away,Ball_possession_home,Ball_possession_away,Total_shots_home,Total_shots_away,Shots_on_target_home,Shots_on_target_away,Corner_kicks_home,Corner_kicks_away,Passes_home,Passes_away,Yellow_cards_home,Yellow_cards_away,Red_cards_home,Red_cards_away,Shots_off_target_home,Shots_off_target_away,Blocked_shots_home,Blocked_shots_away,Offsides_home,Offsides_away,Free_kicks_home,Free_kicks_away,Throw_ins_home,Throw_ins_away,Fouls_home,Fouls_away,Goalkeeper_saves_home,Goalkeeper_saves_away
02.09.2023,02:45,AS Roma,AC Milan,1:2,https://www.flashscore.co.uk/match/football/dbUkddNg/#/match-summary,0.39,1.62,43%,57%,13,9,2,4,3,5,"84%,(336/399)","88%,(478/544)",2,4,0,1,7,1,4,4,1,1,13,15,11,7,14,15,2,1
05.02.2024,01:00,Atalanta,Lazio,3:1,https://www.flashscore.co.uk/match/football/dxJ0EPJI/#/match-summary,2.42,1.07,53%,47%,19,7,5,1,6,1,"86%,(477/555)","84%,(416/495)",2,3,,,9,3,5,3,1,1,13,13,7,25,13,14,0,2
17.03.2024,01:00,Salernitana,Lecce,0:1,https://www.flashscore.co.uk/match/football/trxccn1H/#/match-summary,0.99,1.27,71%,29%,15,17,6,4,7,1,"88%,(616/700)","77%,(217/282)",4,3,,,6,10,3,3,1,1,19,11,16,22,9,18,3,6
11.03.2024,01:00,Juventus,Atalanta,2:2,https://www.flashscore.co.uk/match/football/OIP2mBXh/#/match-summary,0.89,0.37,51%,49%,18,7,5,3,4,3,"85%,(431/507)","86%,(425/494)",0,1,,,7,3,6,1,2,0,11,14,23,11,12,10,1,3
10.02.2024,22:00,Cagliari,Lazio,1:3,https://www.flashscore.co.uk/match/football/67M49zYj/#/match-summary,0.87,1.19,45%,55%,13,12,6,5,7,8,"80%,(383/479)","85%,(497/585)",1,3,,,4,6,3,1,1,3,10,8,19,22,6,9,2,5
14.04.2024,00:00,Torino,Juventus,0:0,https://www.flashscore.co.uk/match/football/0QXPHDr1/#/match-summary,0.59,0.84,48%,52%,13,8,2,3,6,2,"85%,(334/393)","85%,(384/451)",3,2,1,0,3,3,8,2,0,1,12,18,13,16,18,11,3,2
07.01.2024,22:00,Udinese,Lazio,1:2,https://www.flashscore.co.uk/match/football/vwjcwCie/#/match-summary,0.68,0.42,47%,53%,13,7,2,2,4,4,"80%,(311/390)","81%,(362/447)",5,3,,,6,4,5,1,0,1,21,14,29,21,16,22,0,1
22.04.2024,02:45,Monza,Atalanta,1:2,https://www.flashscore.co.uk/match/football/pWEkYYSs/#/match-summary,1.27,1.52,58%,42%,17,12,2,6,2,8,"86%,(466/542)","79%,(301/381)",3,2,,,9,5,6,1,0,1,15,8,26,14,8,13,4,1
20.08.2023,02:45,Genoa,Fiorentina,1:4,https://www.flashscore.co.uk/match/football/23gdjUf3/#/match-summary,0.18,0.86,32%,68%,4,9,2,5,3,4,"75%,(217/289)","88%,(576/656)",2,3,,,2,2,0,2,2,1,14,16,14,17,14,13,1,1
27.05.2024,02:45,Verona,Inter,2:2,https://www.flashscore.co.uk/match/football/jPP565dL/#/match-summary,2.49,2.22,35%,65%,18,15,8,11,9,3,"80%,(240/300)","87%,(514/591)",1,1,,,2,1,8,3,2,5,14,19,15,21,17,8,9,6
